Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
65,-21,Lady Gaga ,Bloody Mary,10,31,,12155104,-2312648.0,146178321
66,-4,Bad Bunny ,Efecto,39,6,,11885911,-567352.0,814112505
67,-4,Bad Bunny ,Ojitos Lindos,39,3,(x2),11848203,-479942.0,871968432
68,+22,Taylor Swift ,Lavender Haze,15,2,(x1),11743688,1893093.0,266224329
69,NEW,Baby Tate ,"Hey, Mickey!",1,69,,11604542,,11604542
70,-4,Joji ,Glimpse of Us,34,1,(x1),11336148,-412938.0,733245466
71,NEW,TOMORROW X TOGETHER ,Sugar Rush Ride,1,71,,11316092,,11316092
72,+3,Elton John ,Cold Heart,77,4,,11126421,339766.0,1347330391
73,-16,SZA ,Nobody Gets Me,8,12,,11086806,-1913341.0,125150238
74,-9,SZA ,Low,8,29,,10997998,-1310055.0,97405852
75,+1,Bruno Mars ,When I Was Your Man,68,75,,10917319,136130.0,226976387
76,-3,KAROL G ,CAIRO,11,70,,10877914,-32018.0,108660230
77,+3,Cris Mj ,Marisola,6,72,,10859873,260957.0,57784580
78,+3,Tory Lanez ,The Color Violet,5,70,,10826089,392156.0,50253566
79,-7,The Weeknd ,I Was Never There,35,17,,10650818,-280426.0,337167746
80,+3,Arijit Singh ,"Apna Bana Le (From ""Bhediya"")",5,80,,10478565,87735.0,47617190
81,-2,Stephen Sanchez ,Until I Found You,39,20,,10291933,-316814.0,514433084
82,-15,ThxSoMch ,SPIT IN MY FACE!,12,67,,10258585,-1471453.0,107543260
83,+6,Fujii Kaze ,Shinunoga E,11,66,,10199695,297250.0,111400407
84,+40,Coi Leray ,Players,2,84,,10140044,1542344.0,18737744
85,-1,TAEYANG ,VIBE,3,32,,10121517,-90720.0,36816567
86,-9,Ruth B. ,Dandelions,77,34,,10087047,-580570.0,717932308
87,+1,Bad Bunny ,Neverita,39,15,,9945995,-6285.0,501939234
88,-17,Quevedo ,Playa Del Inglés,7,71,,9881139,-1091314.0,60773858
89,+2,NewJeans ,Hype Boy,18,78,,9793273,75347.0,141688882
90,-5,Arctic Monkeys ,505,57,43,,9758514,-354414.0,524559710
91,-23,Libianca ,People,3,68,,9706881,-1795314.0,31659242
92,-5,Rauw Alejandro ,LOKERA,25,38,,9690354,-341027.0,287527288
93,=,Harry Styles ,Late Night Talking,37,2,(x1),9683582,155998.0,541660638
94,+17,J. Cole ,No Role Modelz,163,64,,9595958,662357.0,744522929
95,-3,Billie Eilish ,lovely,250,24,,9510664,-200692.0,2060372013
96,+7,Sia ,Unstoppable,53,96,,9448455,263729.0,362971450
97,+50,New West ,Those Eyes,5,97,,9444956,1365058.0,40633725
98,-3,Eminem ,Without Me,84,31,,9438833,15939.0,599835223
99,-29,TWICE ,MOONLIGHT SUNRISE,2,70,,9425815,-1585045.0,20436675
100,=,The Weeknd ,Save Your Tears,113,2,(x4),9383913,168646.0,1254858896
101,=,Coldplay ,Viva La Vida,27,98,,9271729,72732.0,187927639
102,-3,LE SSERAFIM ,ANTIFRAGILE,15,63,,9252547,-1454.0,143728875
103,-7,INTERWORLD ,METAMORPHOSIS,7,96,,9204793,-202786.0,60020239
104,-26,Grupo Frontera ,No Se Va,18,36,,9182966,-1477023.0,194624211
105,+10,Ed Sheeran ,Perfect,307,4,,9106436,255706.0,2272245834
106,-32,Quevedo ,Vista Al Mar,21,45,,9026361,-1784731.0,210993632
107,+3,Coldplay ,Yellow,111,56,,8957339,15289.0,764841923
108,-14,Lewis Capaldi ,Someone You Loved,212,4,,8956748,-525415.0,2564878419
109,-3,Israel & Rodolffo ,Bombonzinho,12,80,,8919590,-153692.0,101292627
110,-3,Kordhell ,Murder In My Mind,25,82,,8884775,-177738.0,214588475
111,-9,Adele ,Easy On Me,68,1,(x7),8882255,-315885.0,1178093529
112,-8,Lil Nas X ,STAR WALKIN' (League of Legends Worlds Anthem),19,22,,8812579,-268359.0,204093928
